ingredient_name,unit,quantity_on_hand,reorder_threshold,unit_cost,expiry_date,supplier
San Marzano Tomatoes,cans,48,20,3.5,2026-09-15,Italian Imports Co
Fresh Mozzarella,kg,6.0,8,12.0,2026-03-12,DeLuca Dairy
Burrata,pieces,8,10,5.5,2026-03-10,DeLuca Dairy
Fresh Basil,bunches,5,8,2.5,2026-03-09,Local Farm Co-op
Arugula,kg,2.0,3,8.0,2026-03-10,Local Farm Co-op
Romaine Lettuce,heads,12,10,2.0,2026-03-12,Local Farm Co-op
Heirloom Tomatoes,kg,3.5,5,6.0,2026-03-11,Local Farm Co-op
Lemons,pieces,25,15,0.5,2026-03-20,Local Farm Co-op
Eggplant,pieces,8,6,2.0,2026-03-13,Local Farm Co-op
Garlic,heads,30,15,0.8,2026-04-01,Local Farm Co-op
Chicken Breast,kg,8.0,10,9.5,2026-03-10,Prime Meats
Guanciale,kg,3.0,2,22.0,2026-03-25,Italian Imports Co
Veal Shank,pieces,4,3,18.0,2026-03-11,Prime Meats
Fresh Calamari,kg,3.5,4,14.0,2026-03-09,Harbor Seafood
Fresh Clams,kg,2.0,3,16.0,2026-03-09,Harbor Seafood
Branzino,whole fish,3,4,15.0,2026-03-09,Harbor Seafood
Beef Tenderloin,kg,2.5,3,35.0,2026-03-12,Prime Meats
Prosciutto di Parma,kg,2.0,2,28.0,2026-04-15,Italian Imports Co
Lobster Meat,kg,1.5,2,45.0,2026-03-09,Harbor Seafood
Parmigiano Reggiano,kg,5.0,3,25.0,2026-06-01,Italian Imports Co
Pecorino Romano,kg,3.0,2,20.0,2026-05-15,Italian Imports Co
Ricotta,kg,4.0,3,8.0,2026-03-14,DeLuca Dairy
Mascarpone,kg,2.5,2,10.0,2026-03-15,DeLuca Dairy
Heavy Cream,liters,6.0,5,4.5,2026-03-14,DeLuca Dairy
Eggs,dozen,8,6,4.0,2026-03-20,Local Farm Co-op
Gorgonzola,kg,1.5,1,18.0,2026-03-18,Italian Imports Co
Spaghetti Pasta,kg,20,10,3.0,2027-01-01,Italian Imports Co
Penne Pasta,kg,15,8,3.0,2027-01-01,Italian Imports Co
Fettuccine Pasta,kg,12,8,3.5,2027-01-01,Italian Imports Co
Pizza Dough,balls,15,20,1.5,2026-03-10,In-house
Arborio Rice,kg,8,4,5.0,2027-06-01,Italian Imports Co
Breadcrumbs,kg,5,3,2.5,2026-08-01,Italian Imports Co
Ciabatta Bread,loaves,6,8,3.0,2026-03-09,In-house
Ladyfingers,packs,10,5,4.0,2026-05-01,Italian Imports Co
Cannoli Shells,pieces,24,15,1.0,2026-04-01,Italian Imports Co
Espresso Beans,kg,5.0,3,18.0,2026-06-01,Caffè Roma
Whole Milk,liters,10,8,1.5,2026-03-13,DeLuca Dairy
Aperol,bottles,4,3,18.0,2027-01-01,Wine & Spirits Dist
Prosecco,bottles,12,8,8.0,2027-03-01,Wine & Spirits Dist
Montepulciano Wine,bottles,18,10,6.0,2028-01-01,Wine & Spirits Dist
Limoncello,bottles,6,3,12.0,2027-06-01,Italian Imports Co
Extra Virgin Olive Oil,liters,8,5,12.0,2026-12-01,Italian Imports Co
Dark Chocolate,kg,3,2,14.0,2026-09-01,Italian Imports Co
Vanilla Gelato,liters,5,4,8.0,2026-04-01,Gelato Fresco
Saffron,grams,5,3,8.0,2027-01-01,Italian Imports Co
