platform,post_type,content_summary,menu_item_name,posted_at,likes,comments,shares,reach
instagram,story,Happy hour special featuring Osso Buco — don't miss out!,Osso Buco,2026-02-23 10:14:00,45,11,1,244
instagram,video,Our Margherita Pizza has been getting rave reviews! Have you tried it yet?,Margherita Pizza,2026-02-05 12:22:00,242,13,24,1571
instagram,story,Bruschetta Trio + good company = perfect evening 🥂,Bruschetta Trio,2026-02-05 13:25:00,129,6,5,747
facebook,video,Behind the scenes: making our famous Calamari Fritti from scratch,Calamari Fritti,2026-02-08 19:29:00,119,4,16,541
facebook,reel,Nothing beats a classic Prosciutto e Rucola on a Wednesday evening,Prosciutto e Rucola,2026-02-25 19:59:00,152,27,31,635
facebook,video,Happy hour special featuring Diavola Pizza — don't miss out!,Diavola Pizza,2026-02-12 12:16:00,62,21,22,489
instagram,reel,Cacio e Pepe + good company = perfect evening 🥂,Cacio e Pepe,2026-03-04 13:49:00,484,38,23,3831
instagram,photo,Behind the scenes: making our famous Lobster Ravioli from scratch,Lobster Ravioli,2026-02-28 19:53:00,130,18,8,704
facebook,carousel,Our Diavola Pizza has been getting rave reviews! Have you tried it yet?,Diavola Pizza,2026-02-19 18:54:00,85,10,19,608
tiktok,reel,New on the menu spotlight: Chicken Parmigiana! Come taste the difference,Chicken Parmigiana,2026-02-08 11:30:00,696,32,81,3309
facebook,video,Behind the scenes: making our famous Tiramisu from scratch,Tiramisu,2026-02-15 17:32:00,67,6,16,290
facebook,reel,Behind the scenes: making our famous Aperol Spritz from scratch,Aperol Spritz,2026-02-26 10:13:00,58,9,14,418
facebook,carousel,Behind the scenes: making our famous Prosciutto e Rucola from scratch,Prosciutto e Rucola,2026-02-17 18:46:00,39,14,35,269
tiktok,story,Happy hour special featuring Cacio e Pepe — don't miss out!,Cacio e Pepe,2026-02-20 10:49:00,138,9,4,865
instagram,video,Happy hour special featuring Calamari Fritti — don't miss out!,Calamari Fritti,2026-02-23 18:52:00,356,49,24,2710
instagram,video,Your table is waiting. Burrata Caprese is served ✨,Burrata Caprese,2026-02-07 18:05:00,204,33,13,803
tiktok,reel,New on the menu spotlight: Tiramisu! Come taste the difference,Tiramisu,2026-03-02 10:34:00,309,21,72,2126
facebook,carousel,New on the menu spotlight: Aperol Spritz! Come taste the difference,Aperol Spritz,2026-02-06 19:13:00,66,22,33,491
facebook,carousel,Nothing beats a classic Chocolate Lava Cake on a Tuesday evening,Chocolate Lava Cake,2026-03-03 19:24:00,89,4,26,558
tiktok,video,Our Tiramisu has been getting rave reviews! Have you tried it yet?,Tiramisu,2026-02-11 13:34:00,434,20,50,2348
instagram,carousel,Aperol Spritz + good company = perfect evening 🥂,Aperol Spritz,2026-03-03 10:50:00,209,15,4,1127
tiktok,reel,Bruschetta Trio + good company = perfect evening 🥂,Bruschetta Trio,2026-02-15 12:07:00,970,39,73,7580
instagram,photo,Behind the scenes: making our famous Calamari Fritti from scratch,Calamari Fritti,2026-03-05 11:51:00,181,9,2,844
tiktok,video,Happy hour special featuring Cannoli — don't miss out!,Cannoli,2026-02-05 17:55:00,460,10,26,1905
instagram,story,Happy hour special featuring Cacio e Pepe — don't miss out!,Cacio e Pepe,2026-02-23 20:10:00,63,18,6,414
tiktok,carousel,Our Bruschetta Trio has been getting rave reviews! Have you tried it yet?,Bruschetta Trio,2026-02-15 18:26:00,634,47,65,3564
facebook,photo,Weekend vibes start with Bruschetta Trio 🎉,Bruschetta Trio,2026-02-20 11:56:00,27,3,7,129
instagram,carousel,Behind the scenes: making our famous Osso Buco from scratch,Osso Buco,2026-02-18 12:52:00,209,10,2,830
instagram,photo,Weekend vibes start with Lobster Ravioli 🎉,Lobster Ravioli,2026-02-10 18:32:00,281,11,11,1318
instagram,photo,Fresh out of the kitchen! Our Chocolate Lava Cake is calling your name 🍝,Chocolate Lava Cake,2026-02-07 11:01:00,83,21,5,401
facebook,reel,Weekend vibes start with Prosciutto e Rucola 🎉,Prosciutto e Rucola,2026-02-13 11:17:00,35,20,16,128
instagram,photo,Behind the scenes: making our famous Tiramisu from scratch,Tiramisu,2026-02-19 13:47:00,233,20,5,897
instagram,video,Your table is waiting. Cacio e Pepe is served ✨,Cacio e Pepe,2026-02-06 12:46:00,239,30,25,942
facebook,video,Nothing beats a classic Cacio e Pepe on a Thursday evening,Cacio e Pepe,2026-02-05 18:23:00,97,9,25,603
tiktok,video,Chef's special today: Osso Buco — made with love and the finest ingredients,Osso Buco,2026-02-18 10:05:00,250,24,13,1676
instagram,reel,Weekend vibes start with Margherita Pizza 🎉,Margherita Pizza,2026-02-22 13:45:00,308,45,19,1688
instagram,reel,Weekend vibes start with Lobster Ravioli 🎉,Lobster Ravioli,2026-03-04 20:42:00,381,11,27,1437
instagram,reel,Happy hour special featuring Osso Buco — don't miss out!,Osso Buco,2026-02-28 18:08:00,565,60,23,4099
facebook,reel,Your table is waiting. Spaghetti Carbonara is served ✨,Spaghetti Carbonara,2026-03-01 17:21:00,75,24,35,567
tiktok,story,Happy hour special featuring Prosciutto e Rucola — don't miss out!,Prosciutto e Rucola,2026-03-02 11:27:00,97,15,37,729
instagram,reel,New on the menu spotlight: Spaghetti Carbonara! Come taste the difference,Spaghetti Carbonara,2026-02-19 13:59:00,504,24,26,3595
instagram,reel,Cannoli + good company = perfect evening 🥂,Cannoli,2026-02-23 13:24:00,262,12,11,1539
instagram,story,Behind the scenes: making our famous Prosciutto e Rucola from scratch,Prosciutto e Rucola,2026-03-02 20:46:00,143,10,2,966
instagram,story,New on the menu spotlight: Diavola Pizza! Come taste the difference,Diavola Pizza,2026-02-14 12:19:00,145,11,6,872
instagram,carousel,New on the menu spotlight: Bruschetta Trio! Come taste the difference,Bruschetta Trio,2026-03-04 13:30:00,171,23,14,549
instagram,story,Aperol Spritz + good company = perfect evening 🥂,Aperol Spritz,2026-02-10 18:36:00,161,16,2,862
facebook,reel,New on the menu spotlight: Osso Buco! Come taste the difference,Osso Buco,2026-03-04 13:03:00,45,6,34,243
tiktok,video,Chef's special today: Chocolate Lava Cake — made with love and the finest ingredients,Chocolate Lava Cake,2026-02-20 13:18:00,337,28,29,1066
instagram,story,New on the menu spotlight: Chocolate Lava Cake! Come taste the difference,Chocolate Lava Cake,2026-02-18 19:14:00,215,17,2,752
instagram,reel,Happy hour special featuring Bruschetta Trio — don't miss out!,Bruschetta Trio,2026-02-15 11:15:00,177,13,8,589
instagram,carousel,Fresh out of the kitchen! Our Margherita Pizza is calling your name 🍝,Margherita Pizza,2026-02-20 20:21:00,269,23,4,1627
facebook,carousel,Happy hour special featuring Aperol Spritz — don't miss out!,Aperol Spritz,2026-02-12 12:21:00,84,6,21,519
facebook,video,Behind the scenes: making our famous Chicken Parmigiana from scratch,Chicken Parmigiana,2026-03-03 19:48:00,124,17,24,951
instagram,photo,Chef's special today: Chicken Parmigiana — made with love and the finest ingredients,Chicken Parmigiana,2026-02-16 12:38:00,268,19,15,1343
instagram,reel,Fresh out of the kitchen! Our Osso Buco is calling your name 🍝,Osso Buco,2026-02-05 10:12:00,272,26,9,1961
facebook,video,Calamari Fritti + good company = perfect evening 🥂,Calamari Fritti,2026-02-18 11:53:00,49,15,19,224
tiktok,photo,Weekend vibes start with Burrata Caprese 🎉,Burrata Caprese,2026-02-26 20:45:00,346,31,20,2258
tiktok,story,Our Aperol Spritz has been getting rave reviews! Have you tried it yet?,Aperol Spritz,2026-02-06 19:28:00,213,13,64,1367
instagram,photo,Our Bruschetta Trio has been getting rave reviews! Have you tried it yet?,Bruschetta Trio,2026-02-17 18:17:00,319,32,14,1235
instagram,photo,Diavola Pizza + good company = perfect evening 🥂,Diavola Pizza,2026-02-20 18:14:00,140,13,2,756
