platform,post_type,content_summary,menu_item_name,posted_at,likes,comments,shares,reach
Instagram,reel,Smash burger sizzle compilation with fire emoji captions,Classic Burger,2025-12-02 12:00:00,3456,234,412,22100
Instagram,photo,Grand opening week throwback collage,,2025-12-04 11:00:00,567,45,67,3900
TikTok,reel,Cheese pull slow motion on Bacon Cheeseburger,Bacon Cheeseburger,2025-12-06 13:00:00,5678,445,723,36800
Instagram,photo,Stack of all 8 burgers tower shot,,2025-12-09 12:30:00,892,78,98,6100
Facebook,text,Holiday hours and catering info,,2025-12-11 10:00:00,67,23,12,1400
Instagram,reel,Kitchen cam: busiest lunch rush ever,,2025-12-14 13:00:00,2345,178,289,16200
Instagram,photo,Loaded fries close-up with cheese drip,Loaded Fries,2025-12-16 12:00:00,734,56,78,5100
TikTok,reel,Staff burger eating contest,Double Stack,2025-12-18 15:00:00,6789,534,867,44500
Instagram,story,Flash deal: free fries with any burger,Regular Fries,2025-12-20 11:30:00,234,0,0,2000
Facebook,photo,Customer photo wall reveal,,2025-12-22 14:00:00,189,34,23,2800
Instagram,reel,BBQ sauce drizzle ASMR close-up,BBQ Bacon Burger,2025-12-25 12:00:00,2890,212,345,19800
Instagram,photo,New Years Eve special double stack challenge,Double Stack,2025-12-28 16:00:00,645,52,67,4500
TikTok,reel,Blindfolded burger taste test with customers,,2025-12-30 14:00:00,4523,367,578,29100
Instagram,reel,First burger of 2026 being assembled,Classic Burger,2026-01-01 12:00:00,1876,145,234,13400
Instagram,photo,Veggie burger with avocado fan art style,Veggie Burger,2026-01-03 11:30:00,456,38,45,3200
Facebook,text,New year same great burgers,,2026-01-05 10:00:00,78,18,8,1600
Instagram,reel,Truffle burger making process gourmet style,Truffle Burger,2026-01-08 12:00:00,1567,123,198,11200
Instagram,photo,Milkshake trio all three flavors,Milkshake,2026-01-10 14:00:00,534,42,56,3800
TikTok,reel,Rating every item on our menu honestly,,2026-01-13 13:00:00,7234,578,912,47800
Instagram,photo,Coleslaw recipe secret ingredient reveal,Coleslaw,2026-01-15 11:00:00,312,45,23,2200
Instagram,reel,Mushroom Swiss burger assembly line,Mushroom Swiss,2026-01-18 12:30:00,1234,98,156,8900
Facebook,photo,Super Bowl party catering package,,2026-01-20 10:00:00,234,56,45,3400
Instagram,story,Game day special: combo deals,,2026-01-22 11:00:00,189,0,0,1700
Instagram,reel,Spicy jalapeño challenge customer reactions,Spicy Jalapeño Burger,2026-01-25 13:00:00,3456,267,423,23400
TikTok,reel,POV you order every combo on the menu,Classic Combo,2026-01-28 14:00:00,5432,423,678,35600
Instagram,photo,Kids meal with smiley fry face,Kids Burger Meal,2026-01-30 12:00:00,678,56,67,4700
Instagram,reel,Valentine burger heart-shaped patty special,,2026-02-01 12:00:00,2678,198,312,18900
Facebook,text,Valentine dinner for two combo announcement,,2026-02-03 10:00:00,89,23,15,1800
Instagram,photo,Onion ring tower stack challenge,Onion Rings,2026-02-05 12:30:00,523,45,56,3700
TikTok,reel,Can we make a burger in under 60 seconds,Classic Burger,2026-02-08 13:00:00,4234,345,534,27800
Instagram,reel,Sweet potato fries vs regular fries debate,Sweet Potato Fries,2026-02-10 12:00:00,1890,145,234,13200
Instagram,photo,Brownie sundae melting ice cream shot,Brownie Sundae,2026-02-12 14:00:00,567,43,56,3900
Instagram,reel,Valentine date night at Stack House,,2026-02-14 18:00:00,2345,189,298,16700
Facebook,photo,February customer of the month spotlight,,2026-02-17 11:00:00,156,28,18,2400
Instagram,photo,Lemonade with burger pairing suggestion,Lemonade,2026-02-19 12:00:00,398,34,38,2800
Instagram,reel,Bacon combo assembly from start to finish,Bacon Combo,2026-02-21 12:30:00,1678,134,212,11800
TikTok,reel,Letting strangers decide what I eat for a day,,2026-02-23 14:00:00,5678,456,712,37200
Instagram,photo,Apple pie slice with ice cream scoop,Apple Pie Slice,2026-02-25 14:00:00,445,38,42,3100
Instagram,reel,March madness burger bracket tournament preview,,2026-02-27 12:00:00,1456,112,178,10200
Facebook,text,Spring menu additions coming soon,,2026-02-28 10:00:00,67,15,10,1300
