name,category,price,ingredient_cost,description
Chicken Tikka Masala,Mains,16.99,5.20,Tandoori chicken in creamy tomato-spice sauce with basmati rice
Lamb Biryani,Mains,18.99,6.80,Fragrant basmati rice layered with spiced lamb and saffron
Butter Naan,Breads,3.99,0.60,Soft leavened bread brushed with butter
Garlic Naan,Breads,4.49,0.75,Naan bread with roasted garlic and cilantro
Paneer Tikka,Starters,12.99,3.50,Grilled cottage cheese with bell peppers and onions
Samosa,Starters,6.99,1.40,Crispy pastry filled with spiced potatoes and peas
Mango Lassi,Drinks,4.99,1.10,Creamy yogurt smoothie with Alphonso mango
Masala Chai,Drinks,3.49,0.50,Spiced black tea with steamed milk
Dal Makhani,Mains,13.99,2.80,Slow-cooked black lentils in rich buttery gravy
Palak Paneer,Mains,14.99,3.20,Fresh spinach curry with paneer cubes
Tandoori Chicken,Mains,15.99,4.50,Half chicken marinated in yogurt and spices cooked in tandoor
Fish Curry,Mains,17.99,5.50,Fresh fish simmered in coconut curry sauce
Aloo Gobi,Sides,9.99,1.80,Cauliflower and potato dry curry with turmeric
Raita,Sides,3.99,0.70,Cool yogurt with cucumber and mint
Gulab Jamun,Desserts,5.99,1.20,Deep-fried milk dumplings in rose-cardamom syrup
Kheer,Desserts,5.49,1.00,Creamy rice pudding with cardamom and pistachios
